Rk,Player,,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD
1,Todd Gurley,GurlTo01,RB,26.083,10/25/20,NFL,ATL,,DET,L 22-23,7,7,Sun,23,63,2.74,2
2,James Robinson,RobiJa00,RB,22.077,10/25/20,NFL,JAX,@,LAC,L 29-39,7,7,Sun,22,119,5.41,1
3,James Conner,ConnJa00,RB,25.173,10/25/20,NFL,PIT,@,TEN,W 27-24,6,7,Sun,20,82,4.1,0
4,Antonio Gibson,GibsAn00,RB,22.124,10/25/20,NFL,WAS,,DAL,W 25-3,7,7,Sun,20,128,6.4,1
5,Derrick Henry,HenrDe00,RB,26.295,10/25/20,NFL,TEN,,PIT,L 24-27,6,7,Sun,20,75,3.75,1
6,Jamaal Williams,WillJa06,RB,25.205,10/25/20,NFL,GNB,@,HOU,W 35-20,6,7,Sun,19,77,4.05,1
7,Kareem Hunt,HuntKa00,RB,25.08,10/25/20,NFL,CLE,@,CIN,W 37-34,7,7,Sun,18,76,4.22,0
8,Melvin Gordon,GordMe00,RB,27.195,10/25/20,NFL,DEN,,KAN,L 16-43,6,7,Sun,17,68,4,1
9,Jeff Wilson,WilsJe01,RB,24.344,10/25/20,NFL,SFO,@,NWE,W 33-6,7,7,Sun,17,112,6.59,3
10,Darrell Henderson,HendDa00,RB,23.068,10/26/20,NFL,LAR,,CHI,W 24-10,7,7,Mon,15,63,4.2,0
11,Carlos Hyde,HydeCa00,RB,30.035,10/25/20,NFL,SEA,@,ARI,L 34-37,6,7,Sun,15,68,4.53,1
12,Kenyan Drake,DrakKe00,RB,26.273,10/25/20,NFL,ARI,,SEA,W 37-34,7,7,Sun,14,34,2.43,0
13,David Johnson,JohnDa08,RB,28.314,10/25/20,NFL,HOU,,GNB,L 20-35,7,7,Sun,14,42,3,0
14,Alvin Kamara,KamaAl00,RB,25.092,10/25/20,NFL,NOR,,CAR,W 27-24,6,7,Sun,14,83,5.93,0
15,David Montgomery,MontDa01,RB,23.141,10/26/20,NFL,CHI,@,LAR,L 10-24,7,7,Mon,14,48,3.43,0
16,Kyler Murray,MurrKy00,QB,23.079,10/25/20,NFL,ARI,,SEA,W 37-34,7,7,Sun,14,67,4.79,1
17,Giovani Bernard,BernGi00,HB,28.338,10/25/20,NFL,CIN,,CLE,L 34-37,7,7,Sun,13,37,2.85,0
18,Ronald Jones II,JoneRo01,RB,23.083,10/25/20,NFL,TAM,@,LVR,W 45-20,7,7,Sun,13,34,2.62,1
19,Ezekiel Elliott,ElliEz00,RB,25.095,10/25/20,NFL,DAL,@,WAS,L 3-25,7,7,Sun,12,45,3.75,0
20,Joshua Kelley,KellJo01,RB,22.34,10/25/20,NFL,LAC,,JAX,W 39-29,6,7,Sun,12,29,2.42,0
21,Boston Scott,ScotBo02,RB,25.178,10/22/20,NFL,PHI,,NYG,W 22-21,7,7,Thu,12,46,3.83,0
22,Josh Allen,AlleJo02,QB,24.157,10/25/20,NFL,BUF,@,NYJ,W 18-10,7,7,Sun,11,61,5.55,0
23,Leonard Fournette,FourLe00,RB,25.281,10/25/20,NFL,TAM,@,LVR,W 45-20,7,7,Sun,11,50,4.55,0
24,Frank Gore,GoreFr00,RB,37.164,10/25/20,NFL,NYJ,,BUF,L 10-18,7,7,Sun,11,60,5.45,0
25,Latavius Murray,MurrLa00,RB,30.281,10/25/20,NFL,NOR,,CAR,W 27-24,6,7,Sun,11,47,4.27,0
26,La'Mical Perine,PeriLa00,RB,22.269,10/25/20,NFL,NYJ,,BUF,L 10-18,7,7,Sun,11,40,3.64,1
27,Adrian Peterson,PeteAd01,RB,35.218,10/25/20,NFL,DET,@,ATL,W 23-22,6,7,Sun,11,29,2.64,0
28,Peyton Barber,BarbPe01,RB,26.241,10/25/20,NFL,WAS,,DAL,W 25-3,7,7,Sun,10,34,3.4,0
29,Malcolm Brown,BrowMa03,RB,27.164,10/26/20,NFL,LAR,,CHI,W 24-10,7,7,Mon,10,57,5.7,1
30,Wayne Gallman,GallWa00,RB,26.021,10/22/20,NFL,NYG,@,PHI,L 21-22,7,7,Thu,10,34,3.4,1
31,Damien Harris,HarrDa06,RB,23.257,10/25/20,NFL,NWE,,SFO,L 6-33,6,7,Sun,10,58,5.8,0
32,Josh Jacobs,JacoJo01,RB,22.257,10/25/20,NFL,LVR,,TAM,L 20-45,6,7,Sun,10,17,1.7,0
33,Jamycal Hasty,HastJa02,RB,24.043,10/25/20,NFL,SFO,@,NWE,W 33-6,7,7,Sun,9,57,6.33,0
34,Justin Herbert,HerbJu00,QB,22.229,10/25/20,NFL,LAC,,JAX,W 39-29,6,7,Sun,9,66,7.33,1
35,Phillip Lindsay,LindPh00,RB,26.093,10/25/20,NFL,DEN,,KAN,L 16-43,6,7,Sun,9,79,8.78,0
36,D'Andre Swift,SwifDA00,RB,21.285,10/25/20,NFL,DET,@,ATL,W 23-22,6,7,Sun,9,27,3,1
37,Clyde Edwards-Helaire,EdwaCl00,RB,21.197,10/25/20,NFL,KAN,@,DEN,W 43-16,7,7,Sun,8,46,5.75,1
38,Tony Pollard,PollTo00,RB,23.178,10/25/20,NFL,DAL,@,WAS,L 3-25,7,7,Sun,8,16,2,0
39,Devin Singletary,SingDe00,RB,23.052,10/25/20,NFL,BUF,@,NYJ,W 18-10,7,7,Sun,8,29,3.63,0
40,Mike Davis,DaviMi01,RB,27.249,10/25/20,NFL,CAR,@,NOR,L 24-27,7,7,Sun,7,12,1.71,0
41,Zack Moss,MossZa00,RB,22.314,10/25/20,NFL,BUF,@,NYJ,W 18-10,7,7,Sun,7,47,6.71,0
42,Jalen Richard,RichJa01,RB,27.01,10/25/20,NFL,LVR,,TAM,L 20-45,6,7,Sun,7,24,3.43,0
43,Deshaun Watson,WatsDe00,QB,25.041,10/25/20,NFL,HOU,,GNB,L 20-35,7,7,Sun,7,38,5.43,0
44,Carson Wentz,WentCa00,QB,27.297,10/22/20,NFL,PHI,,NYG,W 22-21,7,7,Thu,7,14,2,1
45,Le'Veon Bell,BellLe00,RB,28.25,10/25/20,NFL,KAN,@,DEN,W 43-16,7,7,Sun,6,39,6.5,0
46,Joe Burrow,BurrJo01,QB,23.32,10/25/20,NFL,CIN,,CLE,L 34-37,7,7,Sun,6,34,5.67,1
47,Russell Wilson,WilsRu00,QB,31.331,10/25/20,NFL,SEA,@,ARI,L 34-37,6,7,Sun,6,84,14,0
48,Chris Carson,CarsCh00,RB,26.039,10/25/20,NFL,SEA,@,ARI,L 34-37,6,7,Sun,5,34,6.8,0
49,AJ Dillon,DillAJ00,RB,22.176,10/25/20,NFL,GNB,@,HOU,W 35-20,6,7,Sun,5,11,2.2,0
50,Chase Edmonds,EdmoCh00,RB,24.195,10/25/20,NFL,ARI,,SEA,W 37-34,7,7,Sun,5,58,11.6,0
51,Justin Jackson,JackJu01,RB,25.186,10/25/20,NFL,LAC,,JAX,W 39-29,6,7,Sun,5,12,2.4,0
52,J.D. McKissic,McKiJ.00,RB,27.071,10/25/20,NFL,WAS,,DAL,W 25-3,7,7,Sun,5,35,7,0
53,Cam Newton,NewtCa00,QB,31.167,10/25/20,NFL,NWE,,SFO,L 6-33,6,7,Sun,5,19,3.8,0
54,Kyle Allen,AlleKy00,QB,24.231,10/25/20,NFL,WAS,,DAL,W 25-3,7,7,Sun,4,11,2.75,0
55,Rex Burkhead,BurkRe00,RB,30.115,10/25/20,NFL,NWE,,SFO,L 6-33,6,7,Sun,4,12,3,0
56,Jared Goff,GoffJa00,QB,26.012,10/26/20,NFL,LAR,,CHI,W 24-10,7,7,Mon,4,1,0.25,0
57,Chad Henne,HennCh01,QB,35.115,10/25/20,NFL,KAN,@,DEN,W 43-16,7,7,Sun,4,-2,-0.5,1
58,Daniel Jones,JoneDa05,QB,23.148,10/22/20,NFL,NYG,@,PHI,L 21-22,7,7,Thu,4,92,23,0
59,Kyle Juszczyk,JuszKy00,FB,29.185,10/25/20,NFL,SFO,@,NWE,W 33-6,7,7,Sun,4,18,4.5,1
60,Gardner Minshew II,MinsGa00,QB,24.162,10/25/20,NFL,JAX,@,LAC,L 29-39,7,7,Sun,4,21,5.25,0
61,Robert Woods,WoodRo02,WR,28.199,10/26/20,NFL,LAR,,CHI,W 24-10,7,7,Mon,4,23,5.75,0
62,Devontae Booker,BookDe00,RB,28.151,10/25/20,NFL,LVR,,TAM,L 20-45,6,7,Sun,3,5,1.67,0
63,Drew Brees,BreeDr00,QB,41.284,10/25/20,NFL,NOR,,CAR,W 27-24,6,7,Sun,3,2,0.67,1
64,Andy Dalton,DaltAn00,QB,32.362,10/25/20,NFL,DAL,@,WAS,L 3-25,7,7,Sun,3,16,5.33,0
65,Devonta Freeman,FreeDe00,RB,28.221,10/22/20,NFL,NYG,@,PHI,L 21-22,7,7,Thu,3,8,2.67,0
66,Royce Freeman,FreeRo00,RB,24.244,10/25/20,NFL,DEN,,KAN,L 16-43,6,7,Sun,3,12,4,0
67,Travis Homer,HomeTr00,RB,22.079,10/25/20,NFL,SEA,@,ARI,L 34-37,6,7,Sun,3,10,3.33,0
68,Dion Lewis,LewiDi00,RB,30.025,10/22/20,NFL,NYG,@,PHI,L 21-22,7,7,Thu,3,23,7.67,0
69,Drew Lock,LockDr00,QB,23.35,10/25/20,NFL,DEN,,KAN,L 16-43,6,7,Sun,3,8,2.67,1
70,Jerick McKinnon,McKiJe00,RB,28.175,10/25/20,NFL,SFO,@,NWE,W 33-6,7,7,Sun,3,-1,-0.33,0
71,Cordarrelle Patterson,PattCo00,WR,29.223,10/26/20,NFL,CHI,@,LAR,L 10-24,7,7,Mon,3,1,0.33,0
72,Deebo Samuel,SamuDe00,WR,24.284,10/25/20,NFL,SFO,@,NWE,W 33-6,7,7,Sun,3,7,2.33,0
73,DeAndre Washington,WashDe00,RB,27.246,10/25/20,NFL,KAN,@,DEN,W 43-16,7,7,Sun,3,5,1.67,0
74,Tim Boyle,BoylTi00,QB,26.022,10/25/20,NFL,GNB,@,HOU,W 35-20,6,7,Sun,2,-1,-0.5,0
75,Teddy Bridgewater,BridTe00,QB,27.35,10/25/20,NFL,CAR,@,NOR,L 24-27,7,7,Sun,2,10,5,0
76,Derek Carr,CarrDe02,QB,29.211,10/25/20,NFL,LVR,,TAM,L 20-45,6,7,Sun,2,19,9.5,0
77,Corey Clement,ClemCo00,RB,25.355,10/22/20,NFL,PHI,,NYG,W 22-21,7,7,Thu,2,9,4.5,0
78,Evan Engram,EngrEv00,TE,26.05,10/22/20,NFL,NYG,@,PHI,L 21-22,7,7,Thu,2,3,1.5,0
79,Myles Hartsfield,HartMy00,DB,23.081,10/25/20,NFL,CAR,@,NOR,L 24-27,7,7,Sun,2,2,1,0
80,Brian Hill,HillBr02,RB,24.351,10/25/20,NFL,ATL,,DET,L 22-23,7,7,Sun,2,3,1.5,0
81,Jason Huntley,HuntJa01,RB,22.185,10/22/20,NFL,PHI,,NYG,W 22-21,7,7,Thu,2,13,6.5,0
82,Jalen Hurts,HurtJa00,QB,22.076,10/22/20,NFL,PHI,,NYG,W 22-21,7,7,Thu,2,2,1,0
83,Tyron Johnson,JohnTy03,WR,24.291,10/25/20,NFL,LAC,,JAX,W 39-29,6,7,Sun,2,10,5,0
84,Jarvis Landry,LandJa00,WR,27.332,10/25/20,NFL,CLE,@,CIN,W 37-34,7,7,Sun,2,4,2,0
85,Joe Reed,ReedJo03,WR,22.295,10/25/20,NFL,LAC,,JAX,W 39-29,6,7,Sun,2,14,7,1
86,Benny Snell Jr.,SnelBe00,RB,22.241,10/25/20,NFL,PIT,@,TEN,W 27-24,6,7,Sun,2,2,1,1
87,Jarrett Stidham,StidJa00,QB,24.078,10/25/20,NFL,NWE,,SFO,L 6-33,6,7,Sun,2,3,1.5,0
88,Ryan Tannehill,TannRy00,QB,32.09,10/25/20,NFL,TEN,,PIT,L 24-27,6,7,Sun,2,5,2.5,0
89,Alex Armah,ArmaAl00,FB,26.161,10/25/20,NFL,CAR,@,NOR,L 24-27,7,7,Sun,1,1,1,0
90,Tom Brady,BradTo00,QB,43.083,10/25/20,NFL,TAM,@,LVR,W 45-20,7,7,Sun,1,1,1,1
91,Trenton Cannon,CannTr00,RB,26.094,10/25/20,NFL,CAR,@,NOR,L 24-27,7,7,Sun,1,7,7,0
92,Amari Cooper,CoopAm00,WR,26.13,10/25/20,NFL,DAL,@,WAS,L 3-25,7,7,Sun,1,5,5,0
93,Ben DiNucci,DiNuBe00,QB,23.336,10/25/20,NFL,DAL,@,WAS,L 3-25,7,7,Sun,1,0,0,0
94,Jimmy Garoppolo,GaroJi00,QB,28.358,10/25/20,NFL,SFO,@,NWE,W 33-6,7,7,Sun,1,4,4,0
95,KJ Hamler,HamlKJ00,WR,21.109,10/25/20,NFL,DEN,,KAN,L 16-43,6,7,Sun,1,10,10,0
96,Mecole Hardman,HardMe00,WR,22.227,10/25/20,NFL,KAN,@,DEN,W 43-16,7,7,Sun,1,13,13,0
97,Jeff Heath,HeatJe00,S,29.164,10/25/20,NFL,LVR,,TAM,L 20-45,6,7,Sun,1,1,1,0
98,Tee Higgins,HiggTe00,WR,21.281,10/25/20,NFL,CIN,,CLE,L 34-37,7,7,Sun,1,7,7,0
99,Taysom Hill,HillTa00,QB,30.063,10/25/20,NFL,NOR,,CAR,W 27-24,6,7,Sun,1,6,6,0
100,DeSean Jackson,JackDe00,WR,33.326,10/22/20,NFL,PHI,,NYG,W 22-21,7,7,Thu,1,12,12,0
101,D'Ernest Johnson,JohnDE04,RB,24.241,10/25/20,NFL,CLE,@,CIN,W 37-34,7,7,Sun,1,3,3,0
102,Duke Johnson,JohnDu00,RB,27.032,10/25/20,NFL,HOU,,GNB,L 20-35,7,7,Sun,1,-1,-1,0
103,Cooper Kupp,KuppCo00,WR,27.133,10/26/20,NFL,LAR,,CHI,W 24-10,7,7,Mon,1,16,16,0
104,CeeDee Lamb,LambCe00,WR,21.2,10/25/20,NFL,DAL,@,WAS,L 3-25,7,7,Sun,1,1,1,0
105,Baker Mayfield,MayfBa00,QB,25.194,10/25/20,NFL,CLE,@,CIN,W 37-34,7,7,Sun,1,-1,-1,0
106,Anthony McFarland Jr.,McFaAn00,RB,21.235,10/25/20,NFL,PIT,@,TEN,W 27-24,6,7,Sun,1,6,6,0
107,Isaiah McKenzie,McKeIs00,WR,25.199,10/25/20,NFL,BUF,@,NYJ,W 18-10,7,7,Sun,1,-11,-11,0
108,Jeremy McNichols,McNiJe00,RB,24.304,10/25/20,NFL,TEN,,PIT,L 24-27,6,7,Sun,1,2,2,0
109,Jakobi Meyers,MeyeJa01,WR,23.351,10/25/20,NFL,NWE,,SFO,L 6-33,6,7,Sun,1,2,2,0
110,David Moore,MoorDa03,WR,25.284,10/25/20,NFL,SEA,@,ARI,L 34-37,6,7,Sun,1,4,4,0
111,Samaje Perine,PeriSa00,HB,25.039,10/25/20,NFL,CIN,,CLE,L 34-37,7,7,Sun,1,3,3,0
112,Troymaine Pope,PopeTr00,RB,26.331,10/25/20,NFL,LAC,,JAX,W 39-29,6,7,Sun,1,6,6,0
113,Ben Roethlisberger,RoetBe00,QB,38.237,10/25/20,NFL,PIT,@,TEN,W 27-24,6,7,Sun,1,-1,-1,0
114,Henry Ruggs III,RuggHe00,WR,21.275,10/25/20,NFL,LVR,,TAM,L 20-45,6,7,Sun,1,10,10,0
115,Curtis Samuel,SamuCu00,WR,24.075,10/25/20,NFL,CAR,@,NOR,L 24-27,7,7,Sun,1,5,5,1
116,Jaylen Samuels,SamuJa00,RB,24.097,10/25/20,NFL,PIT,@,TEN,W 27-24,6,7,Sun,1,5,5,0
117,Laviska Shenault Jr.,ShenLa00,WR,22.02,10/25/20,NFL,JAX,@,LAC,L 29-39,7,7,Sun,1,0,0,0
118,Matthew Stafford,StafMa00,QB,32.261,10/25/20,NFL,DET,@,ATL,W 23-22,6,7,Sun,1,8,8,0
119,Easton Stick,SticEa00,QB,25.04,10/25/20,NFL,LAC,,JAX,W 39-29,6,7,Sun,1,-2,-2,0
120,Marquez Valdes-Scantling,ValdMa00,WR,26.015,10/25/20,NFL,GNB,@,HOU,W 35-20,6,7,Sun,1,9,9,0
121,Olamide Zaccheaus,ZaccOl01,WR,23.094,10/25/20,NFL,ATL,,DET,L 22-23,7,7,Sun,1,0,0,0